color,price,model,specs,engine,bodytype,mileage,city
Silver,"$18,490 ",2014 Cadillac ATS,"Used 2014 Cadillac ATS with AWD, Heated Seats, Satellite Radio, AM/FM, 4-Wheel Disc Brakes",4 Cyl,Sedan,"Mileage: 30,862 miles",Boston
Black,"$11,792 ",2014 Toyota Corolla LE,"Used 2014 Toyota Corolla LE with FWD, Rear-View Camera, Air Conditioning, Power Mirrors",4 Cyl,Sedan,"Mileage: 41,987 miles",Boston
Black,"$33,000 ",2015 Ford Explorer Sport,"Used 2015 Ford Explorer Sport with 4WD, Remote Start, Leather Seats, Fog Lights, Trailer Hitch, Third Row Seating, Navigation System, Heated Seats, Rear-View Camera, Air Conditioning, Trip Computer",6 Cyl,SUV,"Mileage: 37,201 miles",Boston
Gray,"$12,495 ",2014 Chevrolet Cruze LT,"Used 2014 Chevrolet Cruze LT with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering",4 Cyl,Sedan,"Mileage: 16,577 miles",Boston
Brown,"$20,574 ",2017 Toyota Camry,"Used 2017 Toyota Camry with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, MP3, Power Steering, Power Windows, AM/FM, Aux Audio Adapter, 4-Wheel Disc Brakes",4 Cyl,Sedan,"Mileage: 9,777 miles",Boston
Black,"$31,980 ",2014 Audi A5 Premium Plus,"Used 2014 Audi A5 Premium Plus with AWD, Remote Start, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera",4 Cyl,Coupe,"Mileage: 10,491 miles",Boston
Brown,"$26,860 ",2013 Lexus RX 450h,"Used 2013 Lexus RX 450h with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera",6 Cyl,SUV,"Mileage: 57,080 miles",Boston
Unspecified,"$25,000 ",2015 Lincoln MKZ,"Used 2015 Lincoln MKZ with AWD, Remote Start, Navigation System, Heated Seats, Rear-View Camera, Air Conditioning, Power Steering, AM/FM, Trip Computer, Power Seat (Driver), Power Locks",4 Cyl,Sedan,"Mileage: 6,455 miles",Boston
White,"$14,972 ",2015 Scion tC,"Used 2015 Scion tC with FWD, Alloy Wheels",4 Cyl,Hatchback,"Mileage: 21,961 miles",Boston
Unspecified,"$15,395 ",2017 Toyota Corolla LE,"Used 2017 Toyota Corolla LE with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows, AM/FM",4 Cyl,Sedan,"Mileage: 1,231 miles",Boston
White,"$11,892 ",2014 Toyota Corolla LE,"Used 2014 Toyota Corolla LE with FWD, Rear-View Camera, Air Conditioning, Power Mirrors",4 Cyl,Sedan,"Mileage: 41,617 miles",Boston
Black,"$13,922 ",2015 Toyota Corolla LE,"Used 2015 Toyota Corolla LE with FWD, Rear-View Camera, Air Conditioning, Power Mirrors",4 Cyl,Sedan,"Mileage: 23,109 miles",Boston
Gray,"$11,982 ",2014 Toyota Corolla LE,"Used 2014 Toyota Corolla LE with FWD, Rear-View Camera, Air Conditioning, Power Mirrors",4 Cyl,Sedan,"Mileage: 40,189 miles",Boston
Silver,"$18,399 ",2015 Toyota RAV4 LE,"Used 2015 Toyota RAV4 LE with AWD, Third Row Seating, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering",4 Cyl,SUV,"Mileage: 21,130 miles",Boston
Blue,"$21,500 ",2017 Hyundai Tucson Eco,"Used 2017 Hyundai Tucson Eco with AWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio",4 Cyl,SUV,"Mileage: 4,531 miles",Boston
White,"$36,488 ",2014 Audi Q7 Premium,"Used 2014 Audi Q7 Premium with AWD, Leather Seats, Fog Lights, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Split/Folding Seats, Air Conditioning, AM/FM",6 Cyl,SUV,"Mileage: 36,766 miles",Boston
Green,"$13,982 ",2015 Toyota Corolla LE Eco,"Used 2015 Toyota Corolla LE Eco with FWD, Fog Lights, Alloy Wheels, Navigation System, Rear-View Camera, Air Conditioning, Power Mirrors",4 Cyl,Sedan,"Mileage: 18,716 miles",Boston
Black,"$31,975 ",2015 BMW X3 xDrive28i,"Used 2015 BMW X3 xDrive28i with AWD, Fog Lights, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Power Steering",4 Cyl,SUV,"Mileage: 28,782 miles",Boston
Silver,"$13,987 ",2015 Toyota Corolla LE,"Used 2015 Toyota Corolla LE with FWD, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows, Trip Computer, Power Locks",4 Cyl,Sedan,"Mileage: 21,097 miles",Boston
Black,"$13,990 ",2014 Jeep Compass Latitude,"Used 2014 Jeep Compass Latitude with 4WD, Remote Start, Leather Seats, Heated Seats, Satellite Radio, Aux Audio Adapter, Handsfree/Bluetooth Integration",4 Cyl,SUV,"Mileage: 35,608 miles",Boston
Silver,"$34,120 ",2015 Lexus RX 350,"Used 2015 Lexus RX 350 with AWD, Fog Lights, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Power Steering",6 Cyl,SUV,"Mileage: 15,996 miles",Boston
Orange,"$17,855 ",2014 Ford Escape SE,"Used 2014 Ford Escape SE with 4WD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio",4 Cyl,SUV,"Mileage: 23,225 miles",Boston
Blue,"$24,994 ",2016 Ford Mustang,"Used 2016 Ford Mustang with RWD, Fog Lights, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering",4 Cyl,Coupe,"Mileage: 2,099 miles",Boston
Gray,"$15,900 ",2014 Jeep Compass Latitude,"Used 2014 Jeep Compass Latitude with 4WD, Fog Lights, Cruise Control, Heated Seats, Split/Folding Seats, Air Conditioning, Power Steering, Aux Audio Adapter, Intermittent Wipers, Power Locks, Rear Window Defroster",4 Cyl,SUV,"Mileage: 13,404 miles",Boston
White,"$19,855 ",2014 Lincoln MKZ,"Used 2014 Lincoln MKZ with FWD, Remote Start, Leather Seats, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning",4 Cyl,Sedan,"Mileage: 44,984 miles",Boston
Black,"$38,995 ",2014 Jaguar XJ XJL Portfolio,"Used 2014 Jaguar XJ XJL Portfolio with AWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), DVD, Air Conditioning",6 Cyl,Sedan,"Mileage: 35,593 miles",Boston
White,"$19,635 ",2015 Toyota RAV4 LE,"Used 2015 Toyota RAV4 LE with AWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows, AM/FM",4 Cyl,SUV,"Mileage: 20,964 miles",Boston
Red,"$26,000 ",2014 Jeep Grand Cherokee Limited Edition,"Used 2014 Jeep Grand Cherokee Limited Edition with 4WD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera",6 Cyl,SUV,"Mileage: 22,205 miles",Boston
Brown,"$8,818 ",2011 Honda Civic LX,"Used 2011 Honda Civic LX with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM, Aux Audio Adapter",4 Cyl,Sedan,"Mileage: 76,286 miles",Boston
Gray,"$27,500 ",2014 Lincoln MKX,"Used 2014 Lincoln MKX with AWD, Remote Start, Leather Seats, Fog Lights, Navigation System, Heated Seats, Rear-View Camera, Air Conditioning, Trip Computer, Power Seat (Driver), Power Locks",6 Cyl,SUV,"Mileage: 29,658 miles",Boston
Black,"$49,990 ",2017 Audi S6 Premium Plus,"Used 2017 Audi S6 Premium Plus with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Keyless Entry, Cruise Control, Heated Seats, Split/Folding Seats, Air Conditioning, Power Steering, AM/FM",8 Cyl,Sedan,"Mileage: 7,641 miles",Boston
Black,"$13,489 ",2014 Ford Focus Titanium,"Used 2014 Ford Focus Titanium with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio",4 Cyl,Sedan,"Mileage: 34,148 miles",Boston
Black,"$16,492 ",2015 Toyota RAV4 LE,"Used 2015 Toyota RAV4 LE with AWD, Cloth Seats",4 Cyl,SUV,"Mileage: 46,499 miles",Boston
Gray,"$38,987 ",2014 BMW X5 xDrive35i,"Used 2014 BMW X5 xDrive35i with AWD, Fog Lights, Alloy Wheels, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats",6 Cyl,SUV,"Mileage: 43,921 miles",Boston
Gray,"$17,900 ",2014 GMC Terrain SLE,"Used 2014 GMC Terrain SLE with AWD, Alloy Wheels, Cruise Control, CD (Single Disc), Rear-View Camera, Satellite Radio, Cloth Seats, Power Windows, AM/FM, Power Locks, Handsfree/Bluetooth Integration",4 Cyl,SUV,"Mileage: 30,590 miles",Boston
Red,"$13,982 ",2015 Toyota Corolla S,"Used 2015 Toyota Corolla S with FWD, Power Sun/Moonroof, Alloy Wheels",4 Cyl,Sedan,"Mileage: 31,666 miles",Boston
Gray,"$16,000 ",2014 GMC Terrain SLE,"Used 2014 GMC Terrain SLE with FWD, Fog Lights, Cruise Control, Air Conditioning, Power Steering, AM/FM, Trip Computer, Power Seat (Driver), Intermittent Wipers, Power Locks, Handsfree/Bluetooth Integration",4 Cyl,SUV,"Mileage: 35,311 miles",Boston
Gray,"$34,934 ",2015 Lexus NX 200t,"Used 2015 Lexus NX 200t with AWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3",4 Cyl,SUV,"Mileage: 14,054 miles",Boston
