model,bodytype,color,specs,engine,mileage,price,city
2016 Volkswagen Tiguan,SUV,Black,"Used 2016 Volkswagen Tiguan with AWD, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Power Steering",4 Cyl,"Mileage: 25,671 miles","$16,888 ",NYC
2017 Hyundai Elantra SE,Sedan,Beige,"Used 2017 Hyundai Elantra SE with FWD, Alloy Wheels, Keyless Entry, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering, Power Windows",4 Cyl,"Mileage: 8,430 miles","$15,470 ",NYC
2014 Ford Focus SE,Hatchback,Unspecified,"Used 2014 Ford Focus SE with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows",4 Cyl,"Mileage: 30,696 miles","$11,800 ",NYC
2015 Volkswagen Golf,Hatchback,Silver,"Used 2015 Volkswagen Golf with FWD, Alloy Wheels, Cruise Control, Split/Folding Seats, Air Conditioning, Power Windows, AM/FM, Trip Computer, Power Seat (Driver), Intermittent Wipers, Power Locks",4 Cyl,"Mileage: 36,561 miles","$17,995 ",NYC
2016 Chevrolet Corvette Z51,Coupe,Blue,"Used 2016 Chevrolet Corvette Z51 with RWD, Leather Seats, Navigation System, Air Conditioning, Power Steering",8 Cyl,"Mileage: 5,745 miles","$55,841 ",NYC
2014 Audi A4 2.0T,Sedan,Black,"Used 2014 Audi A4 2.0T with AWD, Heated Seats, Split/Folding Seats",4 Cyl,"Mileage: 18,913 miles","$23,998 ",NYC
2013 Lexus GS 350,Sedan,Gray,"Used 2013 Lexus GS 350 with AWD, Leather Seats, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3",6 Cyl,"Mileage: 38,853 miles","$27,995 ",NYC
2015 Volkswagen Jetta SE,Sedan,White,"Used 2015 Volkswagen Jetta SE with FWD, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Power Steering, Power Windows",4 Cyl,"Mileage: 10,898 miles","$13,264 ",NYC
2016 Toyota Tacoma,Pickup,White,"Used 2016 Toyota Tacoma with RWD, Double Cab, Fog Lights, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio, Cloth Seats",6 Cyl,"Mileage: 13,962 miles","$28,995 ",NYC
2014 Lincoln MKX,SUV,Gray,"Used 2014 Lincoln MKX with AWD, Remote Start, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats",6 Cyl,"Mileage: 44,147 miles","$24,900 ",NYC
2014 Toyota Camry XLE,Sedan,Black,"Used 2014 Toyota Camry XLE with FWD, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning",6 Cyl,"Mileage: 28,329 miles","$17,791 ",NYC
2016 Hyundai Sonata Sport,Sedan,White,"Used 2016 Hyundai Sonata Sport with FWD, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio",4 Cyl,"Mileage: 7,057 miles","$17,995 ",NYC
2014 Subaru Forester 2.5i,SUV,Bronze,"Used 2014 Subaru Forester 2.5i with AWD, Power Sun/Moonroof, Cruise Control, Split/Folding Seats, Air Conditioning, Power Steering, Aux Audio Adapter, Trip Computer, Power Seat (Driver), Intermittent Wipers, Power Locks",4 Cyl,"Mileage: 29,066 miles","$18,847 ",NYC
2014 Lexus ES 350,Sedan,Beige,"Used 2014 Lexus ES 350 with FWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Air Conditioning, MP3, Satellite Radio",6 Cyl,"Mileage: 30,266 miles","$27,536 ",NYC
2013 Nissan Xterra S,SUV,Black,"Used 2013 Nissan Xterra S with 4WD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Power Steering, Aux Audio Adapter",6 Cyl,"Mileage: 63,271 miles","$16,595 ",NYC
2014 Volkswagen Jetta S,Sedan,Black,"Used 2014 Volkswagen Jetta S with FWD, Keyless Entry, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM, 4-Wheel Disc Brakes",4 Cyl,"Mileage: 29,566 miles","$10,871 ",NYC
2015 Audi A6 2.0T,Sedan,White,"Used 2015 Audi A6 2.0T with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning",4 Cyl,"Mileage: 12,747 miles","$34,316 ",NYC
2015 Ram 1500 ST,Pickup,Black,"Used 2015 Ram 1500 ST with 4WD, Fog Lights, Quad Cab, Cruise Control, Split/Folding Seats, Air Conditioning, Power Steering, AM/FM, Aux Audio Adapter, Intermittent Wipers, Power Locks",8 Cyl,"Mileage: 38,507 miles","$25,033 ",NYC
2016 Ford Mustang GT,Coupe,Gray,"Used 2016 Ford Mustang GT with RWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering",8 Cyl,"Mileage: 7,996 miles","$29,999 ",NYC
2014 Kia Forte EX,Sedan,White,"Used 2014 Kia Forte EX with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio, Cloth Seats",4 Cyl,"Mileage: 61,634 miles","$9,995 ",NYC
2012 Ford Escape Limited,SUV,Black,"Used 2012 Ford Escape Limited with 4WD, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, MP3",4 Cyl,"Mileage: 105,470 miles","$9,993 ",NYC
2014 Nissan Pathfinder SV,SUV,Silver,"Used 2014 Nissan Pathfinder SV with 4WD, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio",6 Cyl,"Mileage: 21,781 miles","$21,500 ",NYC
2015 Hyundai Tucson GLS,SUV,Gray,"Used 2015 Hyundai Tucson GLS with AWD, Cruise Control, Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows, Aux Audio Adapter, Trip Computer, Power Seat (Driver), Intermittent Wipers",4 Cyl,"Mileage: 17,084 miles","$16,999 ",NYC
2015 Nissan Frontier SL,Pickup,White,"Used 2015 Nissan Frontier SL with 4WD, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning",6 Cyl,"Mileage: 11,550 miles","$25,999 ",NYC
2015 Lincoln MKZ,Sedan,Beige,"Used 2015 Lincoln MKZ with AWD, Leather Seats, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3",4 Cyl,"Mileage: 19,612 miles","$24,491 ",NYC
2014 Ford Explorer XLT,SUV,Black,"Used 2014 Ford Explorer XLT with 4WD, Fog Lights, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio",6 Cyl,"Mileage: 31,952 miles","$25,995 ",NYC
2012 BMW M6,Convertible,Black,"Used 2012 BMW M6 with RWD, Leather Seats, Alloy Wheels, Navigation System, Keyless Entry, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Power Steering",8 Cyl,"Mileage: 52,939 miles","$44,799 ",NYC
2015 GMC Sierra 1500 SLT,Pickup,Red,"Used 2015 GMC Sierra 1500 SLT with 4WD, Remote Start, Leather Seats, Fog Lights, Power Sun/Moonroof, Trailer Hitch, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats",8 Cyl,"Mileage: 29,183 miles","$37,431 ",NYC
2015 Chevrolet Equinox LT,SUV,Silver,"Used 2015 Chevrolet Equinox LT with AWD, Remote Start, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3",4 Cyl,"Mileage: 11,562 miles","$18,989 ",NYC
2012 Chevrolet Malibu LS,Sedan,Silver,"Used 2012 Chevrolet Malibu LS with FWD, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering",4 Cyl,"Mileage: 67,341 miles","$7,777 ",NYC
2014 Volvo XC60 T6,SUV,Brown,"Used 2014 Volvo XC60 T6 with AWD, Remote Start, Leather Seats, Fog Lights, Power Sun/Moonroof, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Towing Package",6 Cyl,"Mileage: 42,311 miles","$24,803 ",NYC
2016 Toyota Highlander Limited,SUV,White,"Used 2016 Toyota Highlander Limited with AWD, Fog Lights, Alloy Wheels, Third Row Seating, Keyless Entry, Heated Seats, Split/Folding Seats, Air Conditioning, AM/FM, 4-Wheel Disc Brakes, Trip Computer",6 Cyl,"Mileage: 16,035 miles","$36,299 ",NYC
2014 BMW 5 Series 528i xDrive,Sedan,Black,"Used 2014 BMW 5 Series 528i xDrive with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning",4 Cyl,"Mileage: 18,395 miles","$31,095 ",NYC
2015 Lexus NX 200t,SUV,White,"Used 2015 Lexus NX 200t with AWD, Fog Lights, Power Sun/Moonroof, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Split/Folding Seats, Air Conditioning, Power Steering",4 Cyl,"Mileage: 16,772 miles","$33,623 ",NYC
2015 Lexus RX 350,SUV,Gray,"Used 2015 Lexus RX 350 with AWD, Leather Seats, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio",6 Cyl,"Mileage: 40,186 miles","$25,500 ",NYC
2015 Subaru Forester 2.5i,SUV,Green,,4 Cyl,"Mileage: 28,549 miles","$20,777 ",NYC
2015 Toyota RAV4 Limited Edition,SUV,Orange,"Used 2015 Toyota RAV4 Limited Edition with AWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Split/Folding Seats, Air Conditioning",4 Cyl,"Mileage: 14,556 miles","$23,990 ",NYC
2014 Audi A4 2.0T,Sedan,White,"Used 2014 Audi A4 2.0T with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Keyless Entry, Cruise Control, Air Conditioning, Power Steering, AM/FM, 4-Wheel Disc Brakes, Trip Computer",4 Cyl,"Mileage: 17,394 miles","$23,550 ",NYC
2014 BMW 5 Series 528i xDrive,Sedan,Blue,"Used 2014 BMW 5 Series 528i xDrive with AWD, Fog Lights, Power Sun/Moonroof, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering",4 Cyl,"Mileage: 30,397 miles","$24,996 ",NYC
2014 BMW 3 Series 328i xDrive,Wagon,White,"Used 2014 BMW 3 Series 328i xDrive with AWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Power Steering",4 Cyl,"Mileage: 41,857 miles","$27,699 ",NYC
2014 Cadillac SRX Luxury,SUV,Black,"Used 2014 Cadillac SRX Luxury with AWD, Remote Start, Leather Seats, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats",6 Cyl,"Mileage: 37,789 miles","$23,995 ",NYC
2017 Hyundai Santa Fe Sport,SUV,Red,"Used 2017 Hyundai Santa Fe Sport with AWD, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio",4 Cyl,"Mileage: 6,717 miles","$20,888 ",NYC
2014 Ford Focus SE,Sedan,Black,"Used 2014 Ford Focus SE with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, AM/FM",4 Cyl,"Mileage: 34,438 miles","$10,000 ",NYC
2014 Scion xD,Hatchback,Red,"Used 2014 Scion xD with FWD, Keyless Entry, Cruise Control, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering, AM/FM, Aux Audio Adapter",4 Cyl,"Mileage: 34,934 miles","$9,995 ",NYC
2017 Cadillac XT5,SUV,Red,"Used 2017 Cadillac XT5 with FWD, Leather Seats, Alloy Wheels, Keyless Entry, Cruise Control, Rear-View Camera, Split/Folding Seats, Air Conditioning, Satellite Radio, Power Steering, Power Windows",6 Cyl,Mileage: 827 miles,"$35,798 ",NYC
2015 Chevrolet Equinox LT,SUV,Silver,"Used 2015 Chevrolet Equinox LT with AWD, Remote Start, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3",4 Cyl,"Mileage: 11,562 miles","$18,989 ",NYC
2013 Nissan Maxima SV,Sedan,Blue,"Used 2013 Nissan Maxima SV with FWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Cruise Control, Split/Folding Seats, Power Steering, Power Windows, 4-Wheel Disc Brakes, Trip Computer, Power Seat (Driver)",6 Cyl,"Mileage: 34,003 miles","$14,699 ",NYC
2012 BMW M6,Convertible,Black,"Used 2012 BMW M6 with RWD, Leather Seats, Alloy Wheels, Navigation System, Keyless Entry, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Power Steering",8 Cyl,"Mileage: 52,939 miles","$44,799 ",NYC
2015 Chevrolet Tahoe LT,SUV,Black,,8 Cyl,"Mileage: 17,078 miles","$44,995 ",NYC
2013 Honda Accord LX,Sedan,Gray,"Used 2013 Honda Accord LX with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering",4 Cyl,"Mileage: 13,609 miles","$14,577 ",NYC
2015 Chevrolet Silverado 1500 LTZ,Pickup,Black,"Used 2015 Chevrolet Silverado 1500 LTZ with 4WD, Double Cab, Remote Start, Leather Seats, Fog Lights, Trailer Hitch, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats",8 Cyl,"Mileage: 14,065 miles","$35,993 ",NYC
2015 BMW X5 xDrive35i,SUV,Black,"Used 2015 BMW X5 xDrive35i with AWD, Alloy Wheels, Navigation System, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio, Power Steering",6 Cyl,"Mileage: 82,810 miles","$30,995 ",NYC
2014 Chevrolet Cruze LT,Sedan,Gray,"Used 2014 Chevrolet Cruze LT with FWD, Air Conditioning, Front Airbags (Driver)",4 Cyl,"Mileage: 19,225 miles","$12,571 ",NYC
2014 Jeep Grand Cherokee Limited Edition,SUV,Black,"Used 2014 Jeep Grand Cherokee Limited Edition with 4WD, Remote Start, Leather Seats, Fog Lights, Navigation System, Cruise Control, Heated Seats, Split/Folding Seats, Air Conditioning, Power Steering, AM/FM",6 Cyl,"Mileage: 69,629 miles","$22,139 ",NYC
2014 Jeep Grand Cherokee Limited Edition,SUV,Gray,"Used 2014 Jeep Grand Cherokee Limited Edition with 4WD, Remote Start, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera",6 Cyl,"Mileage: 16,365 miles","$28,000 ",NYC
2016 Volkswagen Passat SE,Sedan,White,"Used 2016 Volkswagen Passat SE with FWD, Leather Seats, Power Sun/Moonroof, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning",4 Cyl,"Mileage: 4,113 miles","$18,200 ",NYC
2010 Nissan Murano LE,SUV,Silver,"Used 2010 Nissan Murano LE with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning",6 Cyl,"Mileage: 95,335 miles","$10,995 ",NYC
2015 Lexus RX 350,SUV,Silver,"Used 2015 Lexus RX 350 with AWD, Fog Lights, Power Sun/Moonroof, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio",6 Cyl,"Mileage: 32,603 miles","$32,000 ",NYC
2014 BMW X3 xDrive28i,SUV,Black,"Used 2014 BMW X3 xDrive28i with AWD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3",4 Cyl,"Mileage: 43,790 miles","$27,599 ",NYC
2015 Jeep Grand Cherokee Laredo,SUV,Gray,"Used 2015 Jeep Grand Cherokee Laredo with 4WD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, AM/FM",6 Cyl,"Mileage: 29,165 miles","$23,900 ",NYC
2014 Ford Edge SEL,SUV,Silver,"Used 2014 Ford Edge SEL with AWD, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio, Power Steering, AM/FM",6 Cyl,"Mileage: 29,509 miles","$22,258 ",NYC
2015 GMC Sierra 1500 SLT,Pickup,Red,"Used 2015 GMC Sierra 1500 SLT with 4WD, Remote Start, Leather Seats, Fog Lights, Power Sun/Moonroof, Trailer Hitch, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats",8 Cyl,"Mileage: 29,183 miles","$37,431 ",NYC
2014 BMW 5 Series 535i xDrive,Sedan,Blue,"Used 2014 BMW 5 Series 535i xDrive with AWD, Leather Seats, Alloy Wheels, Navigation System, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio",6 Cyl,"Mileage: 57,232 miles","$24,990 ",NYC
2014 Toyota RAV4 XLE,SUV,Silver,"Used 2014 Toyota RAV4 XLE with AWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, Rear-View Camera, Split/Folding Seats, Air Conditioning",4 Cyl,"Mileage: 13,860 miles","$19,988 ",NYC
2015 BMW X5 xDrive35i,SUV,Black,"Used 2015 BMW X5 xDrive35i with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Navigation System, Keyless Entry, Heated Seats, Air Conditioning, Satellite Radio, Trip Computer, Power Locks",6 Cyl,"Mileage: 60,761 miles","$32,995 ",NYC
2014 Honda Odyssey EX,Minivan,Black,"Used 2014 Honda Odyssey EX with FWD, Leather Seats, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats",6 Cyl,"Mileage: 30,800 miles","$24,391 ",NYC
2015 Toyota Sienna XLE,Minivan,Black,"Used 2015 Toyota Sienna XLE with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Third Row Seating, Keyless Entry, Cruise Control, Heated Seats, Split/Folding Seats, Air Conditioning, Power Steering",6 Cyl,"Mileage: 18,512 miles","$29,909 ",NYC
2015 Lexus RX 350,SUV,Silver,"Used 2015 Lexus RX 350 with AWD, Fog Lights, Power Sun/Moonroof, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Power Steering, AM/FM",6 Cyl,"Mileage: 11,384 miles","$37,156 ",NYC
2016 Mazda CX-5 Touring,SUV,Gray,"Used 2016 Mazda CX-5 Touring with AWD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio",4 Cyl,"Mileage: 12,250 miles","$21,800 ",NYC
2015 Hyundai Tucson GLS,SUV,Gray,"Used 2015 Hyundai Tucson GLS with AWD, Leather Seats, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio, Cloth Seats",4 Cyl,"Mileage: 16,796 miles","$17,900 ",NYC
2015 Hyundai Sonata Eco,Sedan,Black,"Used 2015 Hyundai Sonata Eco with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering",4 Cyl,"Mileage: 24,333 miles","$14,900 ",NYC
2014 Ford Escape Titanium,SUV,Red,"Used 2014 Ford Escape Titanium with 4WD, Remote Start, Leather Seats, Fog Lights, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning",4 Cyl,"Mileage: 43,926 miles","$18,995 ",NYC
2015 Jeep Grand Cherokee Limited Edition,SUV,Black,"Used 2015 Jeep Grand Cherokee Limited Edition with 4WD, Remote Start, Leather Seats, Fog Lights, Navigation System, Cruise Control, Heated Seats, Split/Folding Seats, Air Conditioning, Power Steering, Aux Audio Adapter",6 Cyl,"Mileage: 26,665 miles","$30,051 ",NYC
2012 Audi Q5 Premium Plus,SUV,Brown,"Used 2012 Audi Q5 Premium Plus with AWD, Remote Start, Leather Seats, Fog Lights, Trailer Hitch, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc)",6 Cyl,"Mileage: 50,335 miles","$19,995 ",NYC
2015 Mercedes-Benz M-Class ML 350,SUV,White,"Used 2015 Mercedes-Benz M-Class ML 350 with AWD, Fog Lights, Power Sun/Moonroof, Trailer Hitch, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera",6 Cyl,"Mileage: 19,896 miles","$39,981 ",NYC
2012 Chevrolet Malibu LS,Sedan,Silver,"Used 2012 Chevrolet Malibu LS with FWD, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering",4 Cyl,"Mileage: 67,341 miles","$7,777 ",NYC
2017 Mercedes-Benz G-Class AMG G 65,SUV,Black,"Used 2017 Mercedes-Benz G-Class AMG G 65 with AWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Cruise Control, Heated Seats, Air Conditioning, Power Steering, Power Windows, Trip Computer",12 Cyl,"Mileage: 6,208 miles","$184,995 ",NYC
2015 Chevrolet Malibu LT,Sedan,Black,"Used 2015 Chevrolet Malibu LT with FWD, Remote Start, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats",4 Cyl,"Mileage: 17,923 miles","$14,000 ",NYC
2014 Ford Escape SE,SUV,Red,"Used 2014 Ford Escape SE with 4WD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio, Cloth Seats",4 Cyl,"Mileage: 32,651 miles","$15,999 ",NYC
2015 GMC Sierra 1500 SLT,Pickup,Black,"Used 2015 GMC Sierra 1500 SLT with 4WD, Double Cab, Remote Start, Leather Seats, Fog Lights, Trailer Hitch, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats",8 Cyl,"Mileage: 32,506 miles","$33,483 ",NYC
2014 Chevrolet Cruze LT,Sedan,Red,"Used 2014 Chevrolet Cruze LT with FWD, Remote Start, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio",4 Cyl,"Mileage: 41,951 miles","$10,879 ",NYC
2014 Cadillac SRX Luxury,SUV,Black,"Used 2014 Cadillac SRX Luxury with AWD, Remote Start, Leather Seats, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera",6 Cyl,"Mileage: 35,939 miles","$27,644 ",NYC
2015 Kia Cadenza Limited,Sedan,White,"Used 2015 Kia Cadenza Limited with FWD, Leather Seats, Fog Lights, Navigation System, Keyless Entry, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio",6 Cyl,"Mileage: 15,300 miles","$23,850 ",NYC
2014 BMW 5 Series 528i xDrive,Sedan,Black,"Used 2014 BMW 5 Series 528i xDrive with AWD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3",4 Cyl,"Mileage: 40,320 miles","$24,799 ",NYC
2015 Lexus IS 250,Sedan,Silver,"Used 2015 Lexus IS 250 with AWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3",6 Cyl,"Mileage: 32,891 miles","$25,960 ",NYC
2014 Jeep Grand Cherokee Limited Edition,SUV,White,"Used 2014 Jeep Grand Cherokee Limited Edition with 4WD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio",6 Cyl,"Mileage: 26,319 miles","$27,152 ",NYC
2014 Honda Pilot EXL,SUV,Gray,"Used 2014 Honda Pilot EXL with 4WD, Leather Seats, Fog Lights, Trailer Hitch, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera",6 Cyl,"Mileage: 32,451 miles","$26,778 ",NYC
2014 Ford Explorer Limited Edition,SUV,Black,"Used 2014 Ford Explorer Limited Edition with 4WD, Remote Start, Leather Seats, Fog Lights, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera",6 Cyl,"Mileage: 54,524 miles","$25,895 ",NYC
2014 BMW 7 Series 750Li xDrive,Sedan,Gray,"Used 2014 BMW 7 Series 750Li xDrive with AWD, Navigation System, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Power Steering, Power Windows, Rear Window Defroster, Handsfree/Bluetooth Integration",8 Cyl,"Mileage: 53,460 miles","$35,590 ",NYC
2016 Toyota Highlander XLE,SUV,Gray,"Used 2016 Toyota Highlander XLE with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc)",6 Cyl,"Mileage: 22,581 miles","$33,500 ",NYC
2012 GMC Acadia SL,SUV,Silver,"Used 2012 GMC Acadia SL with AWD, Remote Start, Fog Lights, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3",6 Cyl,"Mileage: 79,916 miles","$14,977 ",NYC
