model,bodytype,color,specs,engine,mileage,price,city
2014 Mazda Mazda3 i Sport,Sedan,Gray,"Used 2014 Mazda Mazda3 i Sport with FWD, Leather Seats, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM",4 Cyl,"Mileage: 71,862 miles","$9,400 ",NYC
2013 Fiat 500 Pop,Hatchback,Black,"Used 2013 Fiat 500 Pop with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM",4 Cyl,"Mileage: 39,188 miles","$7,895 ",NYC
2014 Acura MDX Technology,SUV,Black,"Used 2014 Acura MDX Technology with AWD, Power Sun/Moonroof, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, DVD, Air Conditioning",6 Cyl,"Mileage: 51,881 miles","$27,888 ",NYC
2015 Ford F-150 XLT,Pickup,Blue,"Used 2015 Ford F-150 XLT with 4WD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Split/Folding Seats, Air Conditioning, Satellite Radio, Cloth Seats",6 Cyl,"Mileage: 15,681 miles","$31,495 ",NYC
2015 Jeep Wrangler Sahara,SUV,White,"Used 2015 Jeep Wrangler Sahara with 4WD, Fog Lights, Trailer Hitch, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Towing Package, Split/Folding Seats, Air Conditioning, MP3",6 Cyl,"Mileage: 21,003 miles","$32,998 ",NYC
2014 Honda Pilot LX,SUV,White,"Used 2014 Honda Pilot LX with 4WD, Third Row Seating, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering",6 Cyl,"Mileage: 37,845 miles","$20,895 ",NYC
2014 Jeep Compass Latitude,SUV,Gray,"Used 2014 Jeep Compass Latitude with 4WD, Remote Start, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3",4 Cyl,"Mileage: 28,507 miles","$15,000 ",NYC
2015 Jeep Grand Cherokee Limited Edition,SUV,Silver,"Used 2015 Jeep Grand Cherokee Limited Edition with 4WD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Split/Folding Seats, Air Conditioning",6 Cyl,"Mileage: 14,169 miles","$30,656 ",NYC
2016 Jeep Wrangler Sport,SUV,White,"Used 2016 Jeep Wrangler Sport with 4WD, Fog Lights, Cruise Control, Split/Folding Seats, Power Steering, Aux Audio Adapter, Intermittent Wipers, Front Airbags (Driver)",6 Cyl,"Mileage: 8,791 miles","$27,494 ",NYC
2014 Honda CR-V LX,SUV,Brown,"Used 2014 Honda CR-V LX with AWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM",4 Cyl,"Mileage: 43,917 miles","$15,895 ",NYC
