price,color,mileage,bodytype,model,specs,engine,city
"$17,088 ",Gray,"Mileage: 31,180 miles",Hatchback,2014 Toyota Prius Four,"Used 2014 Toyota Prius Four with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Power Steering, AM/FM, 4-Wheel Disc Brakes, Trip Computer",4 Cyl,LA
"$14,477 ",Blue,"Mileage: 27,500 miles",Sedan,2014 Ford Focus Titanium,"Used 2014 Ford Focus Titanium with FWD, Remote Start, Leather Seats, Fog Lights, Cruise Control, Heated Seats, Rear-View Camera, Air Conditioning, Satellite Radio, Power Steering, AM/FM",4 Cyl,LA
"$19,692 ",Silver,"Mileage: 5,288 miles",SUV,2017 Hyundai Tucson SE,"Used 2017 Hyundai Tucson SE with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering, Power Windows",4 Cyl,LA
"$12,999 ",Black,"Mileage: 43,343 miles",Wagon,2014 Kia Soul Soul+,"Used 2014 Kia Soul Soul+ with FWD, Alloy Wheels, Keyless Entry, Cruise Control, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering, Power Windows",4 Cyl,LA
"$14,987 ",Blue,"Mileage: 11,355 miles",Sedan,2015 Kia Optima LX,"Used 2015 Kia Optima LX with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats",4 Cyl,LA
"$22,499 ",Red,"Mileage: 27,142 miles",SUV,2014 Ford Edge SEL,"Used 2014 Ford Edge SEL with FWD, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats",6 Cyl,LA
"$17,753 ",Gray,"Mileage: 31,177 miles",Hatchback,2014 Toyota Prius Plug-in Base,"Used 2014 Toyota Prius Plug-in Base with FWD, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3",4 Cyl,LA
"$20,488 ",Black,"Mileage: 38,418 miles",SUV,2014 Jeep Grand Cherokee Laredo,"Used 2014 Jeep Grand Cherokee Laredo with RWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering",6 Cyl,LA
"$12,295 ",White,"Mileage: 28,975 miles",Sedan,2014 Volkswagen Jetta SE,"Used 2014 Volkswagen Jetta SE with FWD, Keyless Entry, Cruise Control, Split/Folding Seats, Air Conditioning, MP3, Power Steering, AM/FM, Aux Audio Adapter, 4-Wheel Disc Brakes, Trip Computer",4 Cyl,LA
"$31,958 ",Black,"Mileage: 23,365 miles",SUV,2015 Jeep Wrangler Sport,"Used 2015 Jeep Wrangler Sport with 4WD, Fog Lights, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Cloth Seats, Power Steering, AM/FM, Aux Audio Adapter, 4-Wheel Disc Brakes",6 Cyl,LA
