price,model,specs,color,bodytype,mileage,engine,city
"$21,900 ",2015 Honda Accord Crosstour EXL,"Used 2015 Honda Accord Crosstour EXL with FWD, Rear-View Camera, Air Conditioning, AM/FM, Aux Audio Adapter, Handsfree/Bluetooth Integration",Black,SUV,"Mileage: 10,808 miles",6 Cyl,SanDiego
"$5,999 ",2005 Volkswagen New Beetle GLS,"Used 2005 Volkswagen New Beetle GLS with FWD, Cruise Control, CD (Single Disc), MP3, Power Steering, AM/FM, Power Locks, Front Airbags (Driver), Power Mirrors",Blue,Hatchback,"Mileage: 56,047 miles",4 Cyl,SanDiego
"$129,995 ",2015 Aston Martin DB9,"Used 2015 Aston Martin DB9 with RWD, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Air Conditioning, Satellite Radio, AM/FM, 4-Wheel Disc Brakes, Trip Computer",Gray,Coupe,"Mileage: 3,992 miles",12 Cyl,SanDiego
"$18,995 ",2003 Chevrolet SSR LS,"Used 2003 Chevrolet SSR LS with RWD, Leather Seats, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, Power Windows, AM/FM, Trip Computer",Red,Pickup,"Mileage: 70,666 miles",8 Cyl,SanDiego
"$12,290 ",2015 Volkswagen Passat Wolfsburg Edition,"Used 2015 Volkswagen Passat Wolfsburg Edition with FWD, Alloy Wheels, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Power Steering, AM/FM",Black,Sedan,"Mileage: 35,837 miles",4 Cyl,SanDiego
"$12,999 ",2016 Hyundai Sonata SE,"Used 2016 Hyundai Sonata SE with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Power Steering, Power Windows, AM/FM",Brown,Sedan,"Mileage: 21,332 miles",4 Cyl,SanDiego
"$15,995 ",2015 Nissan Altima SL,"Used 2015 Nissan Altima SL with FWD, Remote Start, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera",Black,Sedan,"Mileage: 42,394 miles",6 Cyl,SanDiego
"$11,495 ",2014 Hyundai Sonata GLS,"Used 2014 Hyundai Sonata GLS with FWD, Alloy Wheels, Keyless Entry, Cruise Control, Split/Folding Seats, Air Conditioning, Cloth Seats, Power Steering, AM/FM, 4-Wheel Disc Brakes, Trip Computer",Red,Sedan,"Mileage: 54,628 miles",4 Cyl,SanDiego
"$17,495 ",2015 Nissan Altima SL,"Used 2015 Nissan Altima SL with FWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats",Silver,Sedan,"Mileage: 46,185 miles",6 Cyl,SanDiego
"$17,990 ",2014 Chevrolet Traverse LT,"Used 2014 Chevrolet Traverse LT with FWD, Remote Start, Fog Lights, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning",White,SUV,"Mileage: 61,898 miles",6 Cyl,SanDiego
