mileage,specs,color,bodytype,engine,model,price,city
"Mileage: 19,546 miles","Used 2014 Kia Soul with FWD, Navigation System, Cruise Control, Air Conditioning, Cloth Seats, Power Steering, AM/FM, Trip Computer, Intermittent Wipers, Power Locks, Rear Window Defroster",Red,Wagon,4 Cyl,2014 Kia Soul,"$13,907 ",Miami
"Mileage: 40,039 miles","Used 2015 Jeep Wrangler Sport with 4WD, Fog Lights, Cruise Control, Split/Folding Seats, Air Conditioning, Power Steering, Aux Audio Adapter, Intermittent Wipers, Front Airbags (Driver)",Silver,SUV,6 Cyl,2015 Jeep Wrangler Sport,"$28,993 ",Miami
"Mileage: 44,273 miles","Used 2013 Toyota Camry XLE with FWD, Fog Lights, Power Sun/Moonroof, Cruise Control, Air Conditioning, Power Steering, Trip Computer, Power Seat (Driver), Intermittent Wipers, Power Locks, Rear Window Defroster",Green,Sedan,4 Cyl,2013 Toyota Camry XLE,"$12,988 ",Miami
"Mileage: 21,364 miles","Used 2014 Mercedes-Benz CLA 250 with FWD, Fog Lights, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, Power Steering, Power Windows, AM/FM, Aux Audio Adapter, Intermittent Wipers",Red,Sedan,4 Cyl,2014 Mercedes-Benz CLA 250,"$21,977 ",Miami
"Mileage: 34,768 miles","Used 2013 Hyundai Sonata GLS with FWD, Fog Lights, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats",Unspecified,Sedan,4 Cyl,2013 Hyundai Sonata GLS,"$9,988 ",Miami
"Mileage: 31,578 miles","Used 2014 Hyundai Tucson Limited Edition with FWD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3",Unspecified,SUV,4 Cyl,2014 Hyundai Tucson Limited Edition,"$15,988 ",Miami
"Mileage: 15,827 miles","Used 2014 Hyundai Equus Ultimate with RWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Navigation System, Keyless Entry, Heated Seats, CD (Single Disc), DVD, Air Conditioning, MP3",Unspecified,Sedan,8 Cyl,2014 Hyundai Equus Ultimate,"$34,988 ",Miami
"Mileage: 21,363 miles","Used 2015 Lexus RC 350 with RWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Power Steering, Power Windows",White,Coupe,6 Cyl,2015 Lexus RC 350,"$34,988 ",Miami
"Mileage: 35,508 miles","Used 2014 Ford Focus SE with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows",Black,Hatchback,4 Cyl,2014 Ford Focus SE,"$9,266 ",Miami
"Mileage: 6,634 miles","Used 2016 Hyundai Sonata Sport with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats",White,Sedan,4 Cyl,2016 Hyundai Sonata Sport,"$16,988 ",Miami
"Mileage: 31,211 miles","Used 2015 Hyundai Genesis with RWD, Leather Seats, Alloy Wheels, Navigation System, Keyless Entry, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio",Unspecified,Sedan,6 Cyl,2015 Hyundai Genesis,"$24,988 ",Miami
"Mileage: 10,254 miles","Used 2014 Hyundai Sonata GLS with FWD, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio",White,Sedan,4 Cyl,2014 Hyundai Sonata GLS,"$12,988 ",Miami
"Mileage: 20,246 miles","Used 2015 Mercedes-Benz C-Class C 400 with AWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio",White,Sedan,6 Cyl,2015 Mercedes-Benz C-Class C 400,"$35,888 ",Miami
"Mileage: 15,543 miles","Used 2015 Hyundai Santa Fe Sport with FWD, Leather Seats, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning",Red,SUV,4 Cyl,2015 Hyundai Santa Fe Sport,"$21,988 ",Miami
